"Latest: Time (min)","Latest: Dissolved O2 (mg/L)","Latest: LED (umol photons/m2/s)","Latest: S171 Temp (V) (V)","Latest: Temperature (°C)"
0,4.56164579468,-594.956710205,1.62986755371,17.8616763543
0.0166666666667,4.56121547104,-594.956710205,1.62887573242,17.8751659042
0.0333333333333,4.56229128015,-594.956710205,1.62742614746,17.8948979347
0.05,4.5618609565,-594.956710205,1.62620544434,17.911529635
0.0666666666667,4.56336708926,-594.956710205,1.62536621094,17.9229720313
0.0833333333333,4.56250644197,-594.956710205,1.6242980957,17.9375446423
0.1,4.56272160379,-594.956710205,1.62315368652,17.9531700534
0.116666666667,4.56336708926,-594.956710205,1.62178039551,17.971936821
0.133333333333,4.56444289837,-594.956710205,1.62124633789,17.9792398094
0.15,4.56594903113,-594.956710205,1.62033081055,17.9917654809
0.166666666667,4.5637974129,-594.956710205,1.61888122559,18.0116139936
0.183333333333,4.56358225108,-594.956710205,1.61773681641,18.0272979206
0.2,4.56293676562,-594.956710205,1.61659240723,18.0429942637
0.216666666667,4.56293676562,-594.956710205,1.61560058594,18.0566078189
0.233333333333,4.56293676562,-594.956710205,1.61521911621,18.0618462913
0.25,4.56422773655,-594.956710205,1.61422729492,18.0754727991
0.266666666667,4.56293676562,-594.956710205,1.61338806152,18.0870102386
0.283333333333,4.56272160379,-594.956710205,1.61186218262,18.1080046121
0.3,4.56315192744,-594.956710205,1.61109924316,18.1185101381
0.316666666667,4.56487322202,-594.956710205,1.61041259766,18.1279698711
0.333333333333,4.56659451659,-594.956710205,1.6096496582,18.1384859793
0.35,4.56594903113,-594.956710205,1.60842895508,18.1553233564
0.366666666667,4.56530354566,-594.956710205,1.60758972168,18.1669073482
0.383333333333,4.56465806019,-594.956710205,1.60675048828,18.1784981076
0.4,4.56401257473,-594.956710205,1.60591125488,18.1900956421
0.416666666667,4.56293676562,-594.956710205,1.60537719727,18.1974794223
0.433333333333,4.56422773655,-594.956710205,1.60453796387,18.2090880598
0.45,4.5618609565,-594.956710205,1.60377502441,18.219647263
0.466666666667,4.56056998557,-594.956710205,1.60247802734,18.2376108129
0.483333333333,4.56164579468,-594.956710205,1.60186767578,18.2460698778
0.5,4.56121547104,-594.956710205,1.60148620605,18.2513586247
0.516666666667,4.56207611833,-594.956710205,1.60064697266,18.2629988312
0.533333333333,4.5599245001,-594.956710205,1.5998840332,18.2735867641
0.55,4.5579880437,-594.956710205,1.59866333008,18.290539213
0.566666666667,4.56056998557,-594.956710205,1.59820556641,18.2969001157
0.583333333333,4.56013966193,-594.956710205,1.59721374512,18.3106890676
0.6,4.55949417646,-594.956710205,1.59698486328,18.313872494
