"Latest: Time (min)","Latest: Dissolved O2 (mg/L)","Latest: LED (umol photons/m2/s)","Latest: S171 Temp (V) (V)","Latest: Temperature (°C)"
0,3.05258320989,-594.956710205,1.4811706543,19.9937591594
0.0166666666667,3.0543607727,-594.956710205,1.48101806641,19.9960684268
0.0333333333333,3.05309108498,-594.956710205,1.4811706543,19.9937591594
0.05,3.05385289761,-594.956710205,1.48101806641,19.9960684268
0.0666666666667,3.05512258533,-594.956710205,1.48101806641,19.9960684268
0.0833333333333,3.05537652287,-594.956710205,1.4811706543,19.9937591594
0.1,3.05385289761,-594.956710205,1.48086547852,19.9983779607
0.116666666667,3.05309108498,-594.956710205,1.48086547852,19.9983779607
0.133333333333,3.0543607727,-594.956710205,1.48086547852,19.9983779607
0.15,3.05258320989,-594.956710205,1.48071289063,20.0006877613
0.166666666667,3.05359896007,-594.956710205,1.48071289063,20.0006877613
0.183333333333,3.05156745972,-594.956710205,1.48063659668,20.0018427617
0.2,3.05258320989,-594.956710205,1.48048400879,20.0041529624
0.216666666667,3.04953595937,-594.956710205,1.48056030273,20.0029978287
0.233333333333,3.05334502252,-594.956710205,1.48056030273,20.0029978287
0.25,3.04928202183,-594.956710205,1.48056030273,20.0029978287
0.266666666667,3.05055170954,-594.956710205,1.48040771484,20.0053081629
0.283333333333,3.04953595937,-594.956710205,1.48040771484,20.0053081629
0.3,3.05004383446,-594.956710205,1.48040771484,20.0053081629
0.316666666667,3.04877414674,-594.956710205,1.4803314209,20.00646343
0.333333333333,3.04928202183,-594.956710205,1.4803314209,20.00646343
0.35,3.04801233411,-594.956710205,1.4803314209,20.00646343
0.366666666667,3.04877414674,-594.956710205,1.4803314209,20.00646343
0.383333333333,3.04877414674,-594.956710205,1.4803314209,20.00646343
0.4,3.04750445902,-594.956710205,1.48025512695,20.0076187639
0.416666666667,3.04674264639,-594.956710205,1.48025512695,20.0076187639
0.433333333333,3.04775839657,-594.956710205,1.48025512695,20.0076187639
0.45,3.04598083376,-594.956710205,1.48025512695,20.0076187639
0.466666666667,3.04750445902,-594.956710205,1.48025512695,20.0076187639
0.483333333333,3.04547295867,-594.956710205,1.48025512695,20.0076187639
0.5,3.04674264639,-594.956710205,1.4803314209,20.00646343
0.516666666667,3.04420327096,-594.956710205,1.48017883301,20.0087741645
0.533333333333,3.04623477131,-594.956710205,1.48017883301,20.0087741645
0.55,3.04496508359,-594.956710205,1.48017883301,20.0087741645
0.566666666667,3.04318752078,-594.956710205,1.48017883301,20.0087741645
0.583333333333,3.04572689622,-594.956710205,1.48017883301,20.0087741645
0.6,3.04318752078,-594.956710205,1.48025512695,20.0076187639
0.616666666667,3.0444572085,-594.956710205,1.48010253906,20.0099296318
0.633333333333,3.04242570815,-594.956710205,1.48017883301,20.0087741645
0.65,3.04420327096,-594.956710205,1.48010253906,20.0099296318
0.666666666667,3.04191783307,-594.956710205,1.47994995117,20.0122407667
0.683333333333,3.03988633272,-594.956710205,1.47979736328,20.0145521687
0.7,3.04217177061,-594.956710205,1.47987365723,20.0133964343
0.716666666667,3.03887058254,-594.956710205,1.47979736328,20.0145521687
0.733333333333,3.0426796457,-594.956710205,1.47972106934,20.0157079698
0.75,3.03734695728,-594.956710205,1.47979736328,20.0145521687
0.766666666667,3.04115602044,-594.956710205,1.47979736328,20.0145521687
0.783333333333,3.03785483237,-594.956710205,1.47994995117,20.0122407667
0.8,3.04166389552,-594.956710205,1.47964477539,20.0168638377
0.816666666667,3.03912452009,-594.956710205,1.47964477539,20.0168638377
0.833333333333,3.04064814535,-594.956710205,1.47956848145,20.0180197724
0.85,3.03988633272,-594.956710205,1.47964477539,20.0168638377
0.866666666667,3.038616645,-594.956710205,1.47941589355,20.0203318422
0.883333333333,3.04064814535,-594.956710205,1.47956848145,20.0180197724
0.9,3.03734695728,-594.956710205,1.47956848145,20.0180197724
0.916666666667,3.03937845763,-594.956710205,1.47941589355,20.0203318422
0.933333333333,3.03937845763,-594.956710205,1.47926330566,20.0226441792
0.95,3.03709301974,-594.956710205,1.47933959961,20.0214879773
0.966666666667,3.03836270746,-594.956710205,1.47933959961,20.0214879773
0.983333333333,3.03709301974,-594.956710205,1.47926330566,20.0226441792
1,3.03709301974,-594.956710205,1.47918701172,20.0238004479
1.01666666667,3.03760089483,-594.956710205,1.47911071777,20.0249567835
1.03333333333,3.03429970676,-594.956710205,1.47911071777,20.0249567835
1.05,3.03556939448,-594.956710205,1.47903442383,20.0261131859
1.06666666667,3.03506151939,-594.956710205,1.47918701172,20.0238004479
1.08333333333,3.03226820641,-594.956710205,1.47911071777,20.0249567835
1.1,3.03531545694,-594.956710205,1.47911071777,20.0249567835
